text,label
"If you like films that are totally bizarre, then this one is for you! Abdullah is one mean mother, with a passion for strangling people and eating ham. You should check this film out, just for a laugh. It is a low budget sci-fi, musical, comedy, cannibalistic, classic. If you get bored of the film half way through you should persevere, just for the sake of seeing the aliens, which are nothing more than little toy robots, but in my opinion are the films highlight. ""I'm the Big Meat Eater, pass me",0
"What an incredible fall for Sean Ellis.<br /><br />You gather a bunch of your friends at home, all hyped about the follow up work of Sean Ellis. You have an vague idea of the plot, no spoilers that could kill the fun, very high expectations.<br /><br />It is late at night, perfect atmosphere for a movie of this type.<br /><br />15minutes passes and you start telling yourself it is bound to pick up, at 25mins you start wondering if you should just go to sleep and save this for another time when you can fully appreciate the expected not existent subtle touches. Over the half hour mark you realize half of your your hyped up audience is already asleep and call it a day.<br /><br />A few days later when you exhaust all other material to watch you go back to this, in the middle of the day this time, hoping your mood will keep you awake this time. 10 minutes later you find yourself fastforwarding the unbelievably and needlessly long intermediate transitions and images. Any other stuff I would have given up already but there is cashback and its legacy. But that legacy can only carry you so long, this is a new level of boring movie-making, imagine a short story extended to a novel with just descriptions, this is what it is.<br /><br />Decent cast is wasted, there is no cinematography that leaves you in awe like cashback either. There are films that annoy you, there are films that lack certain aspects, or just cheesy, unfortunately this is just a waste of time.<br /><br />Final words, stay away.",0
"I felt Rancid Aluminium was a complete waste of two hours, the plot line was thin and confusing, the prestigious line up of players had some terrible dialogue and extremely questionable accents. The camera work was somewhat experimental in places and although it could be seen what the director was trying to convey, it just made it even more difficult to watch. One of the most annoying aspects of Rancid Aluminium is the over use of narration throughout the film almost like the entire plot is being dictated to the audience. The best performances weren't anything to do with acting. In fact probably the most convincing performance came from Dani Behr of all people, although admittedly does play the stereotypical office secretary. DO NOT under any circumstance go and see this movie unless you need a reason to catch up on some lost sleep, there are certainly better ways to spend your hard earned cash.",0
"This installment very much makes the CIA look like a very foolish organization. In reality, perhaps they are. After all, the way the plot goes on this it very much looks like one man has the power to sanction killing everyone including his own people in order to kill Jason Bourne.<br /><br />Matt Damon does a very credible job as Bourne trying to stay one step ahead of being killed the entire film. He is still trying to remember who he was & how he has gotten where he is. He gets help from a couple of folks & it seems like every minute of the film, somebody is trying to kill him.<br /><br />There is little time for rest in this film & the action sequences seem very very real. There are a lot of chase sequences filmed with the shaky cam which in a way add to the realism & make it seem less Hollywood than many pictures. These sequences add realism to the film in feeling.<br /><br />The suspense in some of the sequences is brilliantly done as you wonder if someone is going to die or if Bourne can head them off. This is the kind of action suspense you go to see when you want to be entertained & I am sure this one will lead to the next film in the series.",1
"I am quite the Mitchell Leisen fan so it was a great anticipation that I rented this movie but the print I got was extremely bad, so worn down from use and scorched seemingly beyond repair, the movie was so dark. So dark that in certain scenes that are cinematographed in the dark, you can't see a single thing. That said, I believe I share the same opinion as the first review of this movie. It starts out unusually and does not tote the lines and rhythms of your typical Hollywood 30's movie. Heck, not even your typical Hollywod movie of any era. It seems the director has been influenced by the Europeans because there is a certain caustic realism to the proceedings from the opening shot which is so crafted in camera movement and placement as Maggie (Carole Lombard) and Skid (Fred Macmurray) meet. You half expect them to start singing ""Make believe"" from Show boat.It starts with a few laughs and poor Anthony in a one scene role where he speaks not a word of English gets slapped around by Freddie. Skids is a bum who doesn't care that he's a bum. That's why he signs up in the army where he can hide from the world. He's just been released though and in a set of screenplay shenanigans, she misses her boat for New York. This is when the movie kicks into high gear and we begin to get those French movie of the sixties vibes to the whole proceedings. The scenes are so well acted by Lombard and Cecil Cunningham, the movie gains a pulse. MacMurray is good too as he and Lombard fall for each other as she nurtures his talent for the trumpet. Then the temptress arrives in the form of Dorothy Lamour. Enough with plot. The movie has fantastic montage sequences that dazzled me. They are very good. And Lombard scores a home run in this movie but in the second half, a bit more is called of Freddie and he fails to deliver the goods. With a heavily melodramatic ending and an actor you don't believe, the movie falls short but since it is not your typical movie in structure, set design, and direction. It is worth a look. For what is what it was one of the 37 hits of the 1936-37 season. I don't know its exact rank though.",1
"I haven't seen this film in years so my knowledge is a little rusty. I do remember thinking that this film is twice the film of Braveheart. It is simply more realistic and has more believable characters. Ridb Roy looks like one would imagine Rob Roy to look like, messy hair and beard with simple clothing. Also the Liam Nesson has a Celtic look about him, he looks like a Scot and more importantly looks like Rob Roy. It's a comparison which angers some people but compare him to Mel Gibson as William Wallace. Gibson is supposedly playing a man who's legend has caused him to be described as a 6 foot 7 giant while Gibson is almost a foot shorter. The story contains a little romance, conspiracy and an underdog story. Sound anything like Braveheart? But instead of a film that cries out ""freedom"", liberty and nationalism we get a film which says honour, love and justice. This makes it a more interesting film. Much like Gladiator. The cast is fantastic and Liam Nesson is a very strong leader in this endeavour. The story is great with how it deals with heroism and humanity. The scene where Mary is raped and she walks out of the burning house with a look of true Scottish strength is followed by her washing the semen from her crotch in an extreme panic. This is something a heroine in Braveheart would never do. Overall this is a stunning and almost flawless watch. Go and see it!",1
I was overtaken by the emotion. Unforgettable rendering of a wartime story which is unknown to most people. The performances were faultless and outstanding.,1
"I had seen Marion Davies in a couple of movies and really couldn't understand her appeal. She couldn't dance for peanuts, she didn't attempt to sing and as for her acting - she seemed in a trance. But I hadn't seen her silent comedies and this film is wonderful. Rather than kidding her own image, as has been suggested here, to me it seems a satire on Gloria Swanson, who did start off in slapstick comedies, went on to highly emotional women's pictures and did end up marrying a Count. Marion, a top mimic, also did a funny rabbit imitation whenever she wanted to be seen as grand, that was Gloria Swanson spot on!!!<br /><br />Colonel Pepper (Dell Henderson) has motored all the way from Georgia to Hollywood, determined to prove that his daughter, Peggy, (Marion Davies) will be the greatest star ever. Their hope dwindles and they are down to their last 40 cents when they meet Billy Boone (William Haines) who works at the slapstick studios and promises to get Peggy a job. Peggy thinks she is going to be a great dramatic actress but the studio think she is a fantastic comic. They convince her to make the film and at the preview she is a great success. Charlie Chaplin asks for her autograph but she doesn't recognise him and treats him pretty rudely. ""Who was that short little guy"" - when she finds out she faints!!! Peggy and Billy get a call from High Art Studio but only Peggy is wanted and suddenly she is on her way. There is a funny scene where she sees a star she doesn't think much of - it's Marion Davies!!!<br /><br />She finally gets a chance of being a dramatic actress - but she can't cry!!! It is a hilarious scene as the director tries everything to get her to cry and when he succeeds, she can't stop!!! Her new leading man, Andre (Paul Ralli) convinces her to forget her comedy past and become elite and sophisticated - she even adopts a new name - Patricia Pepoire!!! She also seems to have forgotten Billy and her dad - she has developed a ""STAR"" personality!!! When the slapstick studio picks the same location as ""Patricia's"" movie, Billy is thrilled to see her but quite unprepared for her snobby attitude. When she calls him a cheap clown he realises that she is not the girl he once knew. <br /><br />After a studio luncheon ( a magnificent panning shot of some of the greatest stars of the day) ""Patricia"" gets a call from the Boss. It seems her films are a flop and no theatres want to book them - the public are tired of her mannerisms and want the old Peggy back. She and Andre decide to get married, she dreams of being a Countess (even though Billy says that Andre used to serve him spaghetti in a little cafe downtown and is no more a Count than he is). On her wedding day, Billy visits and after a hilarious custard pie fight she realises that Billy is the one for her.<br /><br />It was amazing to see all the guest stars - John Gilbert is seen going through the MGM gates, Lew Cody is talking to Elinor Glynn, who not only wrote ""It"" but several racy romances that were made into MGM movies. William Haines, another actor whose movies I had always wanted to see, was great - especially in the cafeteria scene , he had wonderful comic timing. Harry Gribbon was hilarious as the comedy director - there were so many hilarious scenes in this film and Marion was at the top of them all - I'm giving this film 10 out of 10.<br /><br />Highly, Highly Recommended.",1
"Each of the major studios cranked out jazzy one-reelers throughout the thirties and forties (with Universal taking the lead). While most looked as cheap on screen as they were to make, Warner Bros. (which abruptly stopped making them in 1946) often distinguished theirs with offbeat camera angles, mirrors and optical effects, thanks to some creative directors like Jean Negulesco. It is fitting that the best of this genre should come from this studio.<br /><br />What sets ""Jammin' The Blues"" apart from the rest of the pack is that it more closely resembles an avant-garde experiment than a Hollywood musical. Filmed in July 1944, it transforms an ordinary jam session into a ""trippy"" dream-escape from war-time troubles, highlighted by the tune of ""On The Sunny Side Of The Street"". Gjon Mili and cameraman Robert Burkes (later to work with Hitchcock) were allowed plenty of artistic freedom, perhaps because Lester Young was not Glenn Miller and the studio could care less how he and his fellow musicians were presented. The optical printer is put to good use, with multiple images of the same performer appearing at once. (Norman McLaren really milked this process two decades later in ""Pas De Deux"", while Linwood Dunn's team achieved different effects in ""Citizen Kane"".) The strong emphasis on silhouettes and lit cigarette smoke was also ahead of its time; in some ways, this predated the psychedelic sixties, but with a distinctly forties film noir style.",1
"be warned: this movie tells lots of love stories without any coherence.<br /><br />The only intention of this movie seems to be showing love in many different ways.<br /><br />Each story has only a few minutes, so there is no development of characters and nearly no plot. Just an sketchy idea of a plot. The writer tried to build in turning points that aimed to surprise the viewer. However, that just didn't work out because you didn't get to know the characters in before or these ""jokes"" were just silly.<br /><br />This is a movie about love that fails to reach your heart. A dozen times. Or even more, I don't know and I don't care.",0
