text,label
"I really liked this Summerslam due to the look of the arena, the curtains and just the look overall was interesting to me for some reason. Anyways, this could have been one of the best Summerslam's ever if the WWF didn't have Lex Luger in the main event against Yokozuna, now for it's time it was ok to have a huge fat man vs a strong man but I'm glad times have changed. It was a terrible main event just like every match Luger is in is terrible. Other matches on the card were Razor Ramon vs Ted Dibiase, Steiner Brothers vs Heavenly Bodies, Shawn Michaels vs Curt Hening, this was the event where Shawn named his big monster of a body guard Diesel, IRS vs 1-2-3 Kid, Bret Hart first takes on Doink then takes on Jerry Lawler and stuff with the Harts and Lawler was always very interesting, then Ludvig Borga destroyed Marty Jannetty, Undertaker took on Giant Gonzalez in another terrible match, The Smoking Gunns and Tatanka took on Bam Bam Bigelow and the Headshrinkers, and Yokozuna defended the world title against Lex Luger this match was boring and it has a terrible ending. However it deserves 8/10",1
"The most embarrassing moment in this film is when Brady Corbet says 'You've blossomed', near the end the film. I practically died. I'm still not really sure why the screenwriters put that line in there. Was it supposed to create romance? Because it nearly made me sick. <br /><br />The rest of the script was almost as bad.<br /><br />I've never liked the original Thunderbirds, but a Thunderbirds movie had the potential to do so much. This movie doesn't. If it didn't have the big draw card of the Thunderbirds brand, it would have been shafted straight to TV, or canned in the post-production. Maybe even before. <br /><br />Like I said, the best thing about the movie is when the credits roll up and they play Busted's song 'Thunderbirds are go'. I can't believe I wasted $7 watching this through pay-per-view.",0
"This movie should not be watched as it was meant to be a flop. Ram Gopal Verma first wanted to make this a remake of classic bollywood movie ""Sholay"", but after having problems with the original makers decided to go ahead with the project and... i guess leave all the good parts of the movie (acting, script, songs, music, comedy, action etc) out and shoot the movie just because he already happen to hire the crew. Waste of money, waste of time. After making movies like Rangeela, Satya, and Company he pulled a Coppola (Godfather) on us; What were you thinking RGV? Anyways, the story is, though hard to follow, is almost like the Old sholay. Ajay Devgan playing Heero (Beeru, sholay) and Ajay, new kid on the block playing Ajay (Jay,sholay). Both ""bad yet funny"" friends help a cop capture a bad guy first. Later in the movie, now Retired cop hires them as personal security and safeguarding from the hands of a very most wanted Bubban played by Amitabh Bachan. In case you haven't been watching Bollywood movies, the Good guys win in the end. There I just saved you 3 precious hours of your life!",0
"<br /><br />I have to admit to enjoying bad movies. I love them I watch all of them. Horror especially. My friends and I all gather after a hard week at school and work, rent some crazy tapes, order a pizza and have a blast. One of the ones we got at Hollywood Video, was this one, Zombie Bloodbath. This one had a great box, so I was expecting less than usual.<br /><br />The story is about a housing project that is built over a nuclear facility that has had the above-ground layers bulldozed, and the other underground layers are simply covered up. The inhabitants of this neighborhood find the covered up facility when some kids fall into a hole inside a cave. This wakes up some zombies.<br /><br />From this point on, it's chunk-city. The gore effects and action never stop until the end credits roll.<br /><br />OK, it's not great art, but this one, with it's in-joke dialogue and over-the-top gruesome stuff was our favorite of the evening. Actually, it was one of the best ""party tapes"" I have ever had the pleasure of watching. And you could tell it was done on no money, with a bunch of crazy people. There are hundreds of zombies, and the Director looks like Brendan Frazer (he has a cameo) and it is just a wild trip.",1
"For anyone who has only seen Disney Productions beautifully animated version of 'Beauty & The Beast', or even Jean Cocteau's surreal fairy tale vision will be quite taken aback by this 1975 French (but with a director from Poland) version. The plot concerns a French family of fading aristocracy that is marrying into a well to do English family. The major catch is that the bridegroom is carrying an ancient curse on the family. The film also includes many flashback sequences (potentially) explaining this family curse. From the opening credits, to the very end, it's a nearly non stop erotic fun house ride, with some VERY explicit & graphic sexual content (hence the film's X rating in the U.S. in it's initial run,which is now unrated). The film's somewhat contemptuous sentiment at the ruling class will probably remind one of Bunuel's flights into similar territory. If you have a taste for the truly bizarre, and are not offended by ""taboo"" material, then this film may just scratch that itch for you.",1
"Documentaries of this kind are often very opinionated. This film seems to take all opinions out and let the viewer decide what to do with the information provided. It is sad the conditions these poor people have to work in, this film does a great job of showing the ugly side of sweat shops. The film Mardi Gras: Made in China was a good way of showing the world how something as petty as beads for a celebration can effect the lives of so many people in another country.<br /><br />I had to watch this film for an English class where we spent our time talking about sweat shops and how some people are trying to eliminate them and this film helped get the topic rolling. It was a great, very informative movie and I'd recommend anyone see it, it kinda opens your eyes.",1
"This is probably one of Brian De Palma's best known movies but it isn't his best. Body Double, The Fury and Carrie are better movies but this movie is better than Blow Out and Obsession. De Palma is very influenced by Hitchcock and this movie is a take off on Psycho. Angie Dickinson is a bored housewife who is thinking of having an affair and after her psychiatrist, played by Michael Caine, turns down an offer, Dickinson meets a man in a art gallery and she winds up sleeping with him. After this point it's best you don't know what happens but there is a murder and Nancy Allen is a call girl who gets a look at the killer. Dennis Franz is the detective on the case who really doesn't trust Allen and she has to find the killer herself. It's a pretty good movie but isn't one of De Palma's best.",1
"Jeopardy has the feel of being a stock movie of sorts - one of the movies that the studios pumped out inbetween big budget/box office ones. It's a mere 70 minutes and doesn't feature many sets, and the only star is Barbara Stanwyck. But what a star, of course. <br /><br />Stanwyck is a tough lady once again as she runs into an escaped convict while seeking help for her trapped husband in the Mexican desert. The majority of the movie is focused on how she deals with her captor, who wants her to submit to him in exchange for his help. Some psychological battling there. <br /><br />It's a surprisingly effective little movie - its short length makes it taut, and that Stanwyck is great should go without mention (but I'll still praise her every time).",1
"I've just purchased the restored version of a film that I remember with much affection from childhood and it's certainly made for a curious afternoon's entertainment. Bedknobs definitely makes more sense in its complete form, the deleted scenes (especially those with McDowall) link events together quite neatly. What is a little disconcerting is the way the scenes have been remastered. Clearly, the soundtrack to this footage had been lost or damaged, so some bright spark at Disney decided to dub the scenes with new dialogue. Which would have been great except that half the cast weren't around to do it (some for better reasons than others) and the whole thing has a rather shoddy quality to it. Some of the lip-synching is pretty poor, and David Tomlinson's voice has been dubbed by a bloke who sounds absolutely nothing like David Tomlinson (there's actually a hint of German in it, I think). However, good to hear the full versions of all the songs (although 'Step in the right Direction' is still absent) and the moments of magic in this film still shine through. And I challenge you not to giggle when young Paul gazes so innocently at Angela Lansbury and coos ""but what's that got to do with my knob??""",1
"It is written in stone that Disney animations simply ~must~ be musicals. Right? Where? Show me. Because I found this attempt to be much more enjoyable for ~not~ containing the hokey made-for-five-year-old standard Disney musical fare. <br /><br />While the story was not as enthralling as it could have been, it was still quite good, enjoyable, and adventurous. I had hoped for a bit more, yes, considering the subject matter, but this movie is ~not~ the bitter disappointment or utter failure it has been billed to be. <br /><br />The animation quality is average, but the dialog is quite compelling, as is the story line, plot, sub-plot, and amazing creativity I found within this production. I will refrain from outlining the plot, as it has been done and done, but this movie is well worth a view if you are a fan of fantasy.<br /><br />This is, in my opinion, THE BEST Disney Animated Feature Length Film.<br /><br />It rates a 9.4/10 from...<br /><br />the Fiend :.",1
